# Electron linewidth = 2*Im(Sigma) (meV)
#      ik       ibnd                 E(ibnd)      Im(Sigma)(meV)
        1         11   -0.15715555216050E+01    0.13693785579010E+01
        1         12    0.10097659889051E+00    0.23743459470677E+02
        2         11   -0.15625464582081E+01    0.82315187745422E+00
        2         12    0.22434935344920E-01    0.11689143290744E+02
        3         11   -0.15625468110613E+01    0.82362911544941E+00
        3         12    0.22491106280742E-01    0.11697730400823E+02
        4         11   -0.15626025530636E+01    0.73738221923473E+00
        4         12    0.69656361077681E-01    0.11022552064778E+02
        5         11   -0.89177270350140E+00    0.81141857217407E+00
        5         12    0.10357170309371E+00    0.10760524133937E+02
        6         11   -0.89206750443114E+00    0.80610594695463E+00
        6         12    0.10379657124464E+00    0.10747811800608E+02
        7         11   -0.15626011897994E+01    0.73739208422344E+00
        7         12    0.69276003082374E-01    0.10943743074509E+02
        8         11   -0.15702426964044E+01    0.81788946303145E+00
        8         12    0.90686585862521E-01    0.10973509805589E+02
        9         11   -0.97745356817234E+00    0.10973386181845E+01
        9         12    0.30803380885223E-02    0.10321103802289E+02
       10         11   -0.97752325449058E+00    0.11006132008393E+01
       10         12    0.30913780942242E-02    0.10314950608602E+02
       11         11   -0.15702428973011E+01    0.81732627247700E+00
       11         12    0.90737793124912E-01    0.10964473890321E+02
       12         11   -0.15824588524979E+01    0.10203947857179E+01
       12         12    0.31066078186123E-01    0.97681510966685E+01
       13         11   -0.15824586343916E+01    0.10191356922315E+01
       13         12    0.31043313518256E-01    0.97566455254876E+01
       14         11   -0.16003955655110E+01    0.13794049891673E+01
       14         12   -0.13278053813682E+00    0.14400780975921E+02
       15         11   -0.16003961416875E+01    0.13673940741695E+01
       15         12   -0.13298253506157E+00    0.14397554509868E+02
       16         11   -0.15823308712442E+01    0.11559060677136E+01
       16         12    0.76304359017156E-01    0.14575766731230E+02
       17         11   -0.15822529070701E+01    0.11703349277842E+01
       17         12    0.76189626130767E-01    0.14595117378639E+02
       18         11   -0.15811285596036E+01    0.10732676887490E+01
       18         12    0.10893264065956E+00    0.10785476350666E+02
       19         11   -0.87179763859291E+00    0.13398204535174E+01
       19         12    0.13668731810021E+00    0.82177817929631E+01
       20         11   -0.86998973772881E+00    0.14022161677208E+01
       20         12    0.13342451318751E+00    0.82711146662247E+01
       21         11   -0.15809250267050E+01    0.10691442900327E+01
       21         12    0.10624282597698E+00    0.11036808089531E+02
       22         11   -0.15878355533986E+01    0.11211129028176E+01
       22         12    0.12673135883025E+00    0.73436791066322E+01
       23         11   -0.94497202377869E+00    0.77888978779873E+00
       23         12    0.45930765956425E-01    0.11445356080005E+02
       24         11   -0.94298483041789E+00    0.76815773007046E+00
       24         12    0.43066842337073E-01    0.11439783646719E+02
       25         11   -0.15880060616737E+01    0.11255506678627E+01
       25         12    0.12797564311650E+00    0.71758491010925E+01
       26         11   -0.15988904184870E+01    0.12558206042009E+01
       26         12    0.66878077071020E-01    0.10047904695926E+02
       27         11   -0.10209863142598E+01    0.13957210072577E+01
       27         12   -0.10077469818898E+00    0.12759655048561E+02
       28         11   -0.10193427418674E+01    0.13792467133217E+01
       28         12   -0.10229822090077E+00    0.12771852493363E+02
       29         11   -0.15994588912487E+01    0.12520803060409E+01
       29         12    0.69786420505866E-01    0.10306321398542E+02
       30         11   -0.16117579143019E+01    0.11653548596661E+01
       30         12   -0.16120058749396E+00    0.13469822850671E+02
       31         11   -0.15893689032528E+01    0.30722475009332E+01
       31         12   -0.72902025401542E-01    0.94271018113178E+01
       32         11   -0.14325199914230E+01    0.92769057207857E+00
       32         12   -0.11274924564702E+00    0.13909815238491E+02
       33         11   -0.14329008679584E+01    0.93269055856515E+00
       33         12   -0.11304266093299E+00    0.13885912911874E+02
       34         11   -0.15903550073422E+01    0.30787908449689E+01
       34         12   -0.74605561121611E-01    0.96256952546020E+01
       35         11   -0.16112400009244E+01    0.11621625752976E+01
       35         12   -0.16291150798953E+00    0.13603787234002E+02
       36         11   -0.16522925588678E+01    0.79414425696381E+00
       36         12   -0.29078186032007E-01    0.89596569758767E+01
       37         11   -0.16512723847767E+01    0.84449304515607E+00
       37         12   -0.29648303999845E-01    0.90053959271591E+01
       38         11   -0.16549103644795E+01    0.67028736068353E+00
       38         12   -0.84130564834700E-01    0.84234911509086E+01
       39         11   -0.16548514047786E+01    0.66512047940552E+00
       39         12   -0.85846292700777E-01    0.85315452746519E+01
       40         11   -0.16517337483897E+01    0.63035763662705E+00
       40         12   -0.58760574187386E-01    0.55952053268199E+01
       41         11   -0.16513898553232E+01    0.63219109071613E+00
       41         12   -0.61411032612536E-01    0.55628671593675E+01
       42         11   -0.16560499998755E+01    0.59727676031330E+00
       42         12   -0.71792511058862E-01    0.60113271506862E+01
       43         11   -0.85688130539206E+00    0.25400374495807E+01
       43         12    0.59918043862613E-01    0.12924336646739E+02
       44         11   -0.85464762220698E+00    0.26392994561981E+01
       44         12    0.57969859489047E-01    0.12896241602341E+02
       45         11   -0.16568145687102E+01    0.58273110312345E+00
       45         12   -0.67862829651410E-01    0.57821999600253E+01
       46         11   -0.15218869973960E+01    0.36442528552200E+00
       46         12   -0.18719789939072E+00    0.14125089811691E+02
